timestamp,method,endpoint,response_time_ms,response_length,is_error
2025-11-06T02:17:41.028975,GET,Find Owner,114.58910000055766,118,1
2025-11-06T02:17:41.029958,GET,API Customers,117.6595000006273,118,1
2025-11-06T02:17:41.033060,GET,List Vets,119.905600000493,118,1
2025-11-06T02:17:41.033060,GET,Home,114.5409999999174,118,1
2025-11-06T02:17:41.034057,GET,API Vets,116.78490000031161,118,1
2025-11-06T02:17:41.037055,GET,Home,121.77340000016557,118,1
2025-11-06T02:17:41.038054,GET,Home,123.67499999982101,118,1
2025-11-06T02:17:41.039054,GET,Home,123.28710000019782,118,1
2025-11-06T02:17:41.040057,GET,Find Owner,123.1844000003548,118,1
2025-11-06T02:17:41.041563,GET,Home,122.76709999969171,118,1
2025-11-06T02:17:42.510729,GET,Find Owner,55.17700000018522,118,1
2025-11-06T02:17:42.525912,GET,Home,55.24040000000241,118,1
2025-11-06T02:17:42.538754,GET,Find Owner,53.06560000008176,118,1
2025-11-06T02:17:43.395246,GET,Find Owner,55.88200000056531,118,1
2025-11-06T02:17:43.565465,GET,Find Owner,55.10299999968993,118,1
2025-11-06T02:17:43.567468,GET,API Customers,55.98180000015418,118,1
2025-11-06T02:17:43.704031,GET,API Vets,52.975599999626866,118,1
2025-11-06T02:17:43.706782,GET,Home,55.77699999957986,118,1
2025-11-06T02:17:43.937776,GET,Home,54.80859999988752,118,1
2025-11-06T02:17:44.061874,GET,API Visits,52.73269999997865,118,1
2025-11-06T02:17:44.143906,GET,API Vets,56.39020000035089,118,1
2025-11-06T02:17:45.163245,GET,API Visits,53.22939999950904,118,1
2025-11-06T02:17:45.330238,GET,Find Owner,54.43430000013905,118,1
2025-11-06T02:17:45.439332,GET,List Vets,53.26969999987341,118,1
2025-11-06T02:17:45.440597,GET,Find Owner,55.5488999998488,118,1
2025-11-06T02:17:45.671708,GET,Find Owner,55.29619999924762,118,1
2025-11-06T02:17:45.939829,GET,API Visits,57.32929999976477,118,1
2025-11-06T02:17:46.056385,GET,API Customers,120.48130000039237,118,1
2025-11-06T02:17:46.057384,GET,Home,123.18770000001678,118,1
2025-11-06T02:17:46.059384,GET,Home,126.11299999935,118,1
2025-11-06T02:17:46.060384,GET,Find Owner,129.40359999993234,118,1
2025-11-06T02:17:46.060384,GET,API Customers,128.74069999998028,118,1
2025-11-06T02:17:46.061891,GET,List Vets,128.91249999938736,118,1
2025-11-06T02:17:46.063403,GET,Find Owner,127.8453000004447,118,1
2025-11-06T02:17:46.064415,GET,Home,133.295999999973,118,1
2025-11-06T02:17:46.066414,GET,API Visits,131.19060000008176,118,1
2025-11-06T02:17:46.067418,GET,Home,129.8068999994939,118,1
2025-11-06T02:17:46.219206,GET,Home,56.92830000043614,118,1
2025-11-06T02:17:46.541694,GET,Home,54.72430000008899,118,1
2025-11-06T02:17:46.544437,GET,Find Owner,57.72479999995994,118,1
2025-11-06T02:17:46.785961,GET,Home,53.456999999980326,118,1
2025-11-06T02:17:46.819004,GET,API Visits,55.2839000001768,118,1
2025-11-06T02:17:47.033744,GET,Find Owner,56.658299999980954,118,1
2025-11-06T02:17:47.261805,GET,API Customers,53.40020000039658,118,1
2025-11-06T02:17:47.510682,GET,List Vets,54.7180000003209,118,1
2025-11-06T02:17:47.555943,GET,List Vets,52.94840000078693,118,1
2025-11-06T02:17:47.618761,GET,API Visits,54.7378999999637,118,1
2025-11-06T02:17:47.742234,GET,Find Owner,56.15299999954004,118,1
2025-11-06T02:17:47.789343,GET,Home,57.83229999997275,118,1
